title,abstract,authors,year,source,doi,url_of_publication
Exploring pilot assignment methods for pilot contamination mitigation in massive MIMO systems,"In massive multi-input multi-output (MIMO) antenna system, the performance is restricted by inter-cell interference called pilot contamination. However, acquisition of channel state information for channel estimation introduces overheads of pilots required to estimate the channel frequently, a disadvantage that causes inefficient use of bandwidth. A tradeoff thus exists between the number of pilots required to estimate the channel versus the spectral efficiency. Studies on pilot decontamination using pilot assignment lack consideration of the comparative analysis to determine superior approaches. Limited literature exists on the analysis of the existing pilot assignment techniques. Different techniques exhibit varied performances and influence on resource utilization. The purpose of this study is to analyze various methods of pilot assignment schemes for mitigation of pilot contamination in massive MIMO systems. A systematic review approach is adopted to examine different related works and the adopted methodologies, outcomes, and restrictions to determine the most suitable approaches. This study further demonstrates the impact of coherence interval distribution between the pilots for channel estimation and data transmission. An analysis of a tradeoff between FDD and TDD modes is presented to determine the most suitable for massive MIMO antennas. In addition, the study provides recommendations for future research. © 2020 The Author(s). This open access article is distributed under a Creative Commons Attribution (CC-BY) 4.0 license.",Misso A.; Kissaka M.; Maiseli B.,2020,Scopus,10.1080/23311916.2020.1831126,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094831714&doi=10.1080%2f23311916.2020.1831126&partnerID=40&md5=628def9367c18bffc9166ceb00472591
"Achieving ""massive MIMO"" spectral efficiency with a not-so-large number of antennas","Time-Division Duplexing (TDD) allows to estimate the downlink channels for an arbitrarily large number of base station antennas from a finite number of orthogonal uplink pilot signals, by exploiting channel reciprocity. Based on this observation, a recently proposed ""Massive MIMO"" scheme was shown to achieve unprecedented spectral efficiency in realistic conditions of distance-dependent pathloss and channel coherence time and bandwidth. The main focus and contribution of this paper is an improved Network-MIMO TDD architecture achieving spectral efficiencies comparable with ""Massive MIMO"", with one order of magnitude fewer antennas per active user per cell (roughly, from 500 to 50 antennas). The proposed architecture is based on a family of Network-MIMO schemes defined by small clusters of cooperating base stations, zero-forcing multiuser MIMO precoding with suitable inter-cluster interference mitigation constraints, uplink pilot signals allocation and frequency reuse across cells. The key idea consists of partitioning the users into equivalence classes, optimizing the Network-MIMO scheme for each equivalence class, and letting a scheduler allocate the channel time-frequency dimensions to the different classes in order to maximize a suitable network utility function that captures a desired notion of fairness. This results in a mixed-mode Network-MIMO architecture, where different schemes, each of which is optimized for the served user equivalence class, are multiplexed in time-frequency. In order to carry out the performance analysis and the optimization of the proposed architecture in a systematic and computationally efficient way, we consider the large-system regime where the number of users, the number of antennas, and the channel coherence block length go to infinity with fixed ratios. © 2012 IEEE.",Huh H.; Caire G.; Papadopoulos H.C.; Ramprashad S.A.,2012,Scopus,10.1109/TWC.2012.070912.111383,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866742088&doi=10.1109%2fTWC.2012.070912.111383&partnerID=40&md5=c2f2618c0c1018ff3229ed7851f72a26
Product line variability with elastic components and test-driven development,In this work we present a systematic approach for the creation of new variant software components via customization of existing core assets of a software product line. We consider both functional and quality variants and address the issue of a controlled creation of variants which considers the reference architecture and its co-evolution with a number of other artifacts including components and functional and quality test suites. Furthermore we discuss the relationship between the popular agile practice of Test-Driven Development (TDD) and how it can be used to assist the evolution of software components of a software product line. © 2008 IEEE.,Kakarontzas G.; Stamelos I.; Katsaros P.,2008,Scopus,10.1109/CIMCA.2008.84,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449578456&doi=10.1109%2fCIMCA.2008.84&partnerID=40&md5=e68e530b15f647b6a8f19ff32c1d1e7b
Software Practices for Agile Developers: A Systematic Literature Review,"Software development is one of the work practices in a company's startup, academics, and industries. Agile is a software development methodology that is currently quite popular. Agile development practices existing methodologies include Test-Driven Development (TDD), Behavior-Driven Development (BDD), Domain-Driven Design (DDD), and Model-Driven Development (MDD). Each software development practice is unique as it could hinder or contribute greatly to the creation of said software. Agile is a consideration for developers when selecting appropriate development practices due to the breadth of available practices. Thus, this study identifies the characteristics and effectiveness of Agile methods. Our opinion is that this study can help software developers to better understand the challenges of each agile practices and implement them to create better optimized softwares.  © 2022 IEEE.",Arnyndiasari D.; Ferdiana R.; Santosa P.I.,2022,Scopus,10.1109/ICISIT54091.2022.9872874,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138679541&doi=10.1109%2fICISIT54091.2022.9872874&partnerID=40&md5=9e2096c6297d187dedb4c42fad25d912
Heterogeneous Networks in LTE-Advanced,"A comprehensive summary of theoretical and practical developments in LTE Heterogeneous Networks. The last decade has witnessed the proliferation of mobile broadband data and the trend is likely to increase in the coming years. Current cellular networks are ill equipped to deal with this surge in demand. To satisfy user demand and maximize profits, a new paradigm to operate networks is needed. Heterogeneous networks, that deploy an overlay of small cells with limited coverage and transmit power, over a macro coverage area is the solution by providing capacity and coverage where it is needed. This book presents a comprehensive overview of small cell based heterogeneous networks within the framework of 3GPP LTE-Advanced which is the major enabler of current and future heterogeneous networks. The book first establishes the basics of LTE standards 8 -10. Wherever relevant, the underlying theory of wireless communications is explained and the signaling and protocol aspects of LTE Releases 8-10 are presented. Next the book presents a systematic study of the inter cell interference (eICIC and FeICIC) mechanisms that have been standardized in LTE releases 10 and 11 to mitigate the interference arising in heterogeneous networks. From simple blank subframe design and implementation, the book discusses more advanced transceiver signal processing and carrier aggregation (CA) based mechanisms to improve performance. Besides data, control channel enhancements such as enhanced PDCCH (ePDCCH) are also discussed. Subsequently the book discusses the possibility of base stations being allowed to coordinate to manage interference. This technique, called CoMP, has the potential of vastly improving network performance. However several practical challenges first have to be overcome before this potential can be realized. The book presents the different CoMP categories introduced in LTE release 11, the required signal processing and the changes that were introduced in Release-11 for supporting CoMP. The book then presents the state of the art developments in heterogeneous networks that are currently taking place in 3GPP with the initiation of Release 12. A whole array of new technologies have been introduced such as dynamic switching of small cells, new carrier types with reduced control signaling, dynamic reconfiguration of TDD-LTE, joint configuration of TDD and FDD via carrier aggregation and lastly advanced MIMO signal processing with three dimensional beamforming. All these technologies will work in unison leading to efficient operations of small cells. The authors thus comprehensively summarize the advances in heterogeneous networks over the last couple of years as reflected in various LTE releases and then look ahead at what to expect in the future. Fully illustrated throughout and with an accompanying website including Matlab code for simulating heterogeneous networks, LTE channel models, and References to 3GPP specifications, contributions, and updates on recent standardization activities. The authors, being involved in LTE standardization, are well placed to give an excellent view on this topic, including valuable background and design rationale. A comprehensive summary of wireless communications theory and practical developments in LTE heterogeneous networks. Authors are experts in this field and are active members in standardization proceedings, enabling up-to-date coverage of current developments. Multiple case studies explain network design optimization of various heterogeneous network deployments. Accompanying website includes Matlab code for simulating heterogeneous networks, LTE channel models, and References to 3GPP specifications, contributions, and updates on recent standardization activities. Essential reading for Engineers and practitioners in wireless industry. © 2014 John Wiley & Sons, Ltd. All rights reserved.",Acharya J.; Gao L.; Gaur S.,2014,Scopus,10.1002/9781118693964,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927569329&doi=10.1002%2f9781118693964&partnerID=40&md5=4fb8dc6613d7c03dc46be14fed69e490
Asymptotic Performance Analysis and Degree Distribution Design for Systematic Luby Transform Codes over Binary Erasure Channel,"The asymptotic performance formula of systematic LT codes(SLT) in binary erasure channel (BEC) is firstly derived based on AND-OR tree analysis and its lower limit is given. Simulation results show that the actual bit error ratio(BER), the asymptotic performance and the lower limit match each other perfectly when the overhead is large enough. Then the optimization of degree distribution is proposed by the improved systematic linear programming(ISLP) model in accordance with the asymptotic performance. The optimized degree distribution is obviously superior to robust soliton distribution(RSD) and truncated degree distribution(TDD). Furthermore, the asymptotic behavior of the optimized degree distribution can be controlled by the given overhead and BER. In other words, the ideal BER can be obtained within the overhead we want, which also influences the overhead for complete decoding. Simulation results show that the overhead required for data recovery is close to that of we set. The comparison of BER, the overhead required for data recovery and the time of encoding and decoding for LT codes and SLT codes show that SLT codes have better performance than LT codes with more quick speed in data recovery. © 2017, Editorial Department of Journal of Data Acquisition and Processing. All right reserved.",Hua J.; Xu D.; Xu S.,2017,Scopus,10.16337/j.1004-9037.2017.05.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038245843&doi=10.16337%2fj.1004-9037.2017.05.007&partnerID=40&md5=79e77074f4d0694562061916be829a14
Designing multi-agent unit tests using systematic test design patterns-(extended version),"Software agents are the basic building blocks in many software systems especially those based on artificial intelligence methods, e.g., reinforcement learning based multi-agent systems (MASs). However, testing software agents is considered a challenging problem. This is due to the special characteristics of agents which include its autonomy, distributed nature, intelligence, and heterogeneous communication protocols. Following the test-driven development (TDD) paradigm, we present a framework that allows MAS developers to write test scenarios that test each agent individually. The framework relies on the concepts of building mock agents and testing common agent interaction design patterns. We analyze the most common agent interaction patterns including pair and mediation patterns in order to provide stereotype implementation for their corresponding test cases. These implementations serve as test building blocks and are provided as a set of ready-for-reuse components in our repository. This way, the developer can concentrate on testing the business logic itself and spare him/her the burden of implementing tests for the underlying agent interaction patterns. Our framework is based on standard components such as the JADE agent platform, the JUnit framework, and the eclipse plug-in architecture. In this paper, we present in details the design and function of the framework. We demonstrate how we can use the proposed framework to define more stereotypes in the code repository and provide a detailed analysis of the code coverage for our designed stereotype test code implementations. © 2013 Elsevier Ltd. All rights reserved.",Khamis M.A.; Nagi K.,2013,Scopus,10.1016/j.engappai.2013.04.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888352389&doi=10.1016%2fj.engappai.2013.04.009&partnerID=40&md5=cd018c55fa0b1ea54f03b4037398fcb9
Pex - An intelligent assistant for rigorous developer testing,"Pex takes test-driven development to the next level. Pex analyzes .NET applications. From a parameterized unit test, which serves as a specification, it automatically produces traditional unit tests cases with high code coverage. Moreover, when a generated test fails, Pex can often suggest a bug fix. To do so Pex performs a systematic program analysis (similar to path bounded model-checking). It records detailed execution traces of test cases. Pex learns the program behavior from the traces, and a constraint solver produces new test cases with different behavior. The result is a minimal test suite with maximal code coverage. For information about Pex, see http://research.microsoft.com/Pex/ . © 2007 IEEE.",Schulte W.; Tillmann N.; De Halleux P.,2007,Scopus,10.1109/ICECCS.2007.35,https://www.scopus.com/inward/record.uri?eid=2-s2.0-46749117978&doi=10.1109%2fICECCS.2007.35&partnerID=40&md5=f790cbc0bb4a1373ab92509d1ba28a1f
Convergence of UTRA TDD uplink power control,"In this article convergence of UTRA TDD uplink dedicated physical channel (DPCH) power control is studied. Current uplink power control is based on several measurements, which involve both random and systematic errors. Outer loop power control is used to compensate the systematic error. Since the amount of systematic error is unknown in the beginning of a call and after each handover, the outer loop power control should adapt to the current conditions as fast as possible. In this paper the effect of the convergence speed of the outer loop power control to the UTRA TDD system performance is analyzed by the means of dynamic system level simulator.",Kurjenniemi J.; Hämäläinen S.; Ristaniemi T.; Lehtinen O.; Patronen P.,2001,Scopus,10.1109/VETECS.2001.944133,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035191736&doi=10.1109%2fVETECS.2001.944133&partnerID=40&md5=b1e5116fecb85e539574f49322e5871d
The effects of test-driven development on external quality and productivity: A meta-analysis,"This paper provides a systematic meta-analysis of 27 studies that investigate the impact of Test-Driven Development (TDD) on external code quality and productivity. The results indicate that, in general, TDD has a small positive effect on quality but little to no discernible effect on productivity. However, subgroup analysis has found both the quality improvement and the productivity drop to be much larger in industrial studies in comparison with academic studies. A larger drop of productivity was found in studies where the difference in test effort between the TDD and the control group's process was significant. A larger improvement in quality was also found in the academic studies when the difference in test effort is substantial; however, no conclusion could be derived regarding the industrial studies due to the lack of data. Finally, the influence of developer experience and task size as moderator variables was investigated, and a statistically significant positive correlation was found between task size and the magnitude of the improvement in quality. © 1976-2012 IEEE.",Rafique Y.; Mǐsí V.B.,2013,Scopus,10.1109/TSE.2012.28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878407475&doi=10.1109%2fTSE.2012.28&partnerID=40&md5=aba3bb7ecff9e03988de97d26814c59f
LTE for UMTS - OFDMA and SC-FDMA based radio access,"From the editors of the highly successful WCDMA for UMTS, this new book gives a complete and up-to-date overview of Long Term Evolution (LTE) in a systematic and clear manner. It starts with an in-depth explanation of the background and standardization process before moving on to examine the system architecture evolution (SAE). The basics of air interface modulation choices are introduced and key subjects such as 3GPP LTE physical layer and protocol solutions are described. Mobility aspects and radio resource management together with radio and end-to-end performance are assessed. The voice solution and voice capacity in LTE are also illustrated. Finally, the main differences between LTE TDD and FDD modes are examined and HSPA evolution in 3GPP Releases 7 and 8 is described. LTE for UMTS is one of the first books to provide a comprehensive guide to the standards and technologies of LTE. Key features of the book include: Covers all the key aspects of LTE in a systematic manner. Presents full description of 3GPP Release 8 LTE. Examines the expected performance of LTE. © 2009 John Wiley & Sons, Ltd. All Rights Reserved.",Holma H.; Toskala A.,2009,Scopus,10.1002/9780470745489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948959807&doi=10.1002%2f9780470745489&partnerID=40&md5=ba5efa890e17b14e6756e1cd2080699f
Designing multi-agent unit tests using systematic test design patterns,"Following the Test-Driven Development (TDD) paradigm, we present a framework that allows Multi-Agent System (MAS) developers to write test scenarios that test each agent individually. The framework relies on the concepts of building mock agents and testing common agent interaction design patterns. We analyze the most common agent interaction patterns including pair and mediation patterns in order to provide stereotype implementation for their corresponding test cases. These implementations serve as test building blocks and are provided as a set of ready-for-reuse components in our repository. This way, the developer can concentrate on testing the business logic itself and spare him/her the burden of implementing tests for the underlying agent interaction patterns. Our framework is based on standard components such as the JADE agent platform, the junit framework, and the eclipse plug-in architecture. In this paper, we present the design and function of the framework. We demonstrate how we can use the proposed framework to define more stereotypes in the code repository and provide an analysis of the code coverage for our designed stereotype test code implementations. © 2011 IADIS.",Nagi K.M.; Khamis M.A.,2011,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865088554&partnerID=40&md5=32d3ab6856d22c3a62b37298a05612f8
"On the rate adaptation and scheduling design of downlink multi-user, multiple-antenna base station with imperfect CSIT","In this paper, we investigate the downlink rate adaptation and scheduling design in multiuser multiple-input single-output (MISO) systems with imperfect channel state information at the transmitter (CSIT). We shall propose a systematic design framework to address the rate adaptation and multi-user scheduling combined design based on information theoretical framework. We assume time division duplex (TDD) systems with quasi-static fading channels where packet outage is an important concern with imperfect CSIT. A lower bound on the mutual information of a MISO link in the presence of CSI errors is derived. Based on this lower bound, we present a closed form expression for the average goodput of each user, with packet outage taken into account. Numerical results demonstrate that, by considering the statistic of CSIT errors into the design, the proposed schemes provide significant goodput enhancement. © 2005 IEEE.",Lau V.K.N.; Jiang M.,2005,Scopus,10.1109/VETECF.2005.1558205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931334145&doi=10.1109%2fVETECF.2005.1558205&partnerID=40&md5=9db79e7dec51d4bc409c77d955544b71
Handover and Uplink Power Control Performance in the 3.84 Mcps TDD mode of UTRA Network,"In this article we consider the performance of the 3.84 Mcps time-division duplex (TDD) mode of UTRA (Universal Terrestrial Radio Access) network. We emphasize two of the radio resource management algorithms, handover and uplink power control, whose role in the overall system performance is studied extensively. First, a handover algorithm used in WCDMA (Wideband Code Division Multiple Access) standard is considered in a TDD-mode operation. This gives rise to a careful setting of different handover parameters, and the evaluation of the effects to the system performance. Secondly, the specified uplink power control algorithm is considered. Since it is based on several user-made measurements which may involve both random and systematic errors a careful study about the suitability of the power control scheme is carried out.",Kurjenniemi J.; Hämäläinen S.; Ristaniemi T.,2003,Scopus,10.1023/B:WIRE.0000012271.26918.a6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1042265988&doi=10.1023%2fB%3aWIRE.0000012271.26918.a6&partnerID=40&md5=ada99df454a6085e18347a77a191516c
The TDDonto tool for test-driven development of DL knowledge bases,"Adding knowledge to an ontology lacks a verification step by the modeller in most cases, other than 'try and see what the reasoner says about it'. This is due to the lack of a systematic testbed for ontology authoring. Reusing the notion of Test-Driven Development (TDD) from software engineering for ontology development resulted in the specification of 42 test types for the SROIQ language features, as TBox tests using its axioms and as ABox-driven tests with explicitly introduced individuals. We developed TDDOnto, which implements that subset of the TDD tests that could be done by leveraging extant technologies. We examined what the most efficient implementation strategy is with 82 ontologies. The TBox SPARQL queries with OWL-BGP were faster than the ABox-based approach except for disjointness, that effect is more pronounced with larger ontologies, and the OWL API approach is faster than the SPARQL queries for OWL 1 ontologies. A significant difference in performance between OWL and OWL 2 DL ontologies was observed. On average, the TDD tests are faster than classification reasoning, indicating that TDD tests are a promising alternative to the 'try and see' approach in ontology authoring. © 2016, CEUR-WS. All rights reserved.",Ławrynowicz A.; Keet C.M.,2016,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978164148&partnerID=40&md5=42381da4f377a359a7f475db998dd1f4
