"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Thaler J.; Siebers P.-O.","Thaler, Jonathan (57202416622); Siebers, Peer-Olaf (6505538948)","57202416622; 6505538948","Specification testing of agent-based simulation using property-based testing","2020","Autonomous Agents and Multi-Agent Systems","34","2","47","","","","0","10.1007/s10458-020-09473-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086633506&doi=10.1007%2fs10458-020-09473-8&partnerID=40&md5=50f79b2f45dcadc4b49057474ef3f426","The importance of Agent-Based Simulation (ABS) as scientific method to generate data for scientific models in general and for informed policy decisions in particular has been widely recognised. However, the important technique of code testing of implementations like unit testing has not generated much research interested so far. As a possible solution, in previous work we have explored the conceptual use of property-based testing. In this code testing method, model specifications and invariants are expressed directly in code and tested through automated and randomised test data generation. This paper expands on our previous work and explores how to use property-based testing on a technical level to encode and test specifications of ABS. As use case the simple agent-based SIR model is used, where it is shown how to test agent behaviour, transition probabilities and model invariants. The outcome are specifications expressed directly in code, which relate whole classes of random input to expected classes of output. During test execution, random test data is generated automatically, potentially covering the equivalent of thousands of unit tests, run within seconds on modern hardware. This makes property-based testing in the context of ABS strictly more powerful than unit testing, as it is a much more natural fit due to its stochastic nature. © 2020, The Author(s).","Agent-based simulation testing; Code testing; Model specification; Test driven development","Codes (symbols); Specifications; Stochastic systems; Agent based simulation; Model specifications; Property based testing; Specification testing; Stochastic nature; Test data generation; Test specifications; Transition probabilities; Automatic test pattern generation","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85086633506"
"Yang C.-C.; Mai Y.-T.; Chen J.-Y.; Yang C.-M.","Yang, Chun-Chuan (7407741068); Mai, Yi-Ting (7203020267); Chen, Jeng-Yueng (15031338900); Yang, Chen-Ming (57210948943)","7407741068; 7203020267; 15031338900; 57210948943","Integrated sleep scheduling for multiple relays and UEs in LTE-TDD","2019","Eurasip Journal on Wireless Communications and Networking","2019","1","226","","","","2","10.1186/s13638-019-1537-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071977178&doi=10.1186%2fs13638-019-1537-7&partnerID=40&md5=9e2ee19a8f888cb1d3aaddcebe8abdc2","Energy-saving for the LTE-A network with relay nodes in TDD mode is addressed in this paper, and integrated sleep scheduling schemes for relay nodes and user devices under a base station are designed. The authors’ two previously proposed ideas, namely, Load-Based Power Saving (LBPS) and Virtual Time, are adopted in the design, and two strategies, namely, top-down and bottom-up each with three LBPS schemes are proposed. In the top-down strategy, the load as well as the channel quality on the backhaul link is first considered to determine the sleep pattern for all relay nodes, and then the sleep schedule for UEs under each relay node is determined accordingly. On the contrary, the load and the channel quality on the access links are first considered and then integrated into the sleep schedule on the backhaul link. Two associated mechanisms for the proposed LBPS schemes to operate in the virtual time domain are also proposed in the paper, i.e., calculation of the virtual subframe capacity and the mapping mechanisms from the virtual time to the actual time. The benefit of the proposed schemes in power saving over the standard-based scheme is demonstrated by the simulation study, and the bottom-up scheme of BU-Split outperforms the other schemes under equally distributed input load as well as the hotspot scenario. Discussion on the tradeoff of the processing overhead and the performance for the proposed schemes is presented in the paper. © 2019, The Author(s).","LTE-A; Power saving; Relay node; TDD","Energy conservation; Mobile telecommunication systems; Scheduling; Time domain analysis; Associated mechanism; LTE-A; Mapping mechanism; Power savings; Processing overhead; Relay node; Simulation studies; Sleep scheduling schemes; Sleep research","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85071977178"
"Peruma A.; Almalki K.; Newman C.D.; Mkaouer M.W.; Ouni A.; Palomba F.","Peruma, Anthony (57194647753); Almalki, Khalid (57207316955); Newman, Christian D. (54405883100); Mkaouer, Mohamed Wiem (55904259300); Ouni, Ali (50761492200); Palomba, Fabio (55321369000)","57194647753; 57207316955; 54405883100; 55904259300; 50761492200; 55321369000","TsDetect: An open source test smells detection tool","2020","ESEC/FSE 2020 - Proceedings of the 28th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering","","","","1650","1654","4","40","10.1145/3368089.3417921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097173311&doi=10.1145%2f3368089.3417921&partnerID=40&md5=e9acd1bb1fe229300dd7510d0e402c8d","The test code, just like production source code, is subject to bad design and programming practices, also known as smells. The presence of test smells in a software project may affect the quality, maintainability, and extendability of test suites making them less effective in finding potential faults and quality issues in the project's production code. In this paper, we introduce tsDetect, an automated test smell detection tool for Java software systems that uses a set of detection rules to locate existing test smells in test code. We evaluate the effectiveness of tsDetect on a benchmark of 65 unit test files containing instances of 19 test smell types. Results show that tsDetect achieves a high detection accuracy with an average precision score of 96% and an average recall score of 97%. tsDetect is publicly available, with a demo video, at: https://testsmells.github.io/  © 2020 ACM.","Detection Tool; Software Quality; Test Smells","Inspection equipment; Odors; Open source software; Testing; Automated test; Detection accuracy; Detection rules; Detection tools; Potential faults; Programming practices; Quality issues; Software project; Software testing","Conference paper","Final","","Scopus","2-s2.0-85097173311"
"Ohta H.; Asai N.; Horikiri F.; Narita Y.; Yoshida T.; Mishima T.","Ohta, Hiroshi (57206717531); Asai, Naomi (57204059597); Horikiri, Fumimasa (12139427300); Narita, Yoshinobu (56950048600); Yoshida, Takehiro (18635851900); Mishima, Tomoyoshi (7102400361)","57206717531; 57204059597; 12139427300; 56950048600; 18635851900; 7102400361","Impact of Lowering Threading Dislocation Density on Performances of Vertical GaN p-n Junction Diodes","2019","2019 Compound Semiconductor Week, CSW 2019 - Proceedings","","","8819005","","","","1","10.1109/ICIPRM.2019.8819005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072961164&doi=10.1109%2fICIPRM.2019.8819005&partnerID=40&md5=681975fdd8a74cb28055d424d2c15f59","GaN p-n junction diodes were fabricated on freestanding GaN substrates prepared by epitaxial lateral overgrowth (ELO) method on hydride-vapor phase (HVPE) grown GaN substrates with stripe-patterned. The ELO substrate had low threading dislocation density (TDD) area and high TDD area which were alternately located with a period of 200 μm. The diodes located on the low TDD area showed higher breakdown voltages and lower on-resistances with small deviations compared with those located on high TDD area. This research provides guidelines of TDD for fabrication of high performance vertical structure GaN power devices. © 2019 IEEE.","diodes; GaN; threading dislocation density","Diodes; Gallium nitride; III-V semiconductors; Semiconductor diodes; Semiconductor junctions; Substrates; Wide band gap semiconductors; Epitaxial lateral overgrowth; Freestanding GaN substrates; GaN power devices; GaN substrate; On-resistance; Pn junction diodes; Threading dislocation densities; Vertical structures; Power semiconductor devices","Conference paper","Final","","Scopus","2-s2.0-85072961164"
"Rebato M.; Rose L.; Zorzi M.","Rebato, Mattia (57190489595); Rose, Luca (47562015400); Zorzi, Michele (7102431876)","57190489595; 47562015400; 7102431876","Tilt Angle Optimization in Dynamic TDD mmWave Cellular Scenarios","2020","IEEE Communications Letters","24","11","9139222","2637","2641","4","1","10.1109/LCOMM.2020.3008870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096176434&doi=10.1109%2fLCOMM.2020.3008870&partnerID=40&md5=c6a18a86d8f63d9e0fd6d50f88ab0c57","With the introduction of massive MIMO and directional transmissions, antenna configuration has arisen as a major factor influencing coverage and capacity in fifth generation mobile networks. In particular, mechanical tilting can yield performance advancements that cannot be achieved by purely electronic steering, due to the presence of grating lobes and antenna pattern attenuations. In this letter, the performance of mmWave cellular systems is evaluated in terms of SINR when an adjacent-channel node is interfering with an (UL) transmission. We examine a mobile scenario complete with dynamic (TDD) and highlight how the optimization of the antenna tilt angle can drastically improve the overall network performance. Antenna down-tilt can be properly optimized according to both the environment and the antenna settings, thus reducing the overall interference level. We propose a general methodology and discuss a number of important network considerations, towards an effective optimization of the tilt angle. Our evaluation makes it possible to determine the best tilting configuration to be used, according to the scenario considered. © 1997-2012 IEEE.","5G; antenna tilt; cellular scenario; interference optimization; Millimeter-wave","Directional patterns (antenna); Directive antennas; Millimeter waves; Mobile telecommunication systems; Adjacent channels; Antenna configurations; Antenna down tilts; Directional transmission; Electronic steering; General methodologies; Interference level; Mobile scenarios; 5G mobile communication systems","Article","Final","","Scopus","2-s2.0-85096176434"
"Zhou W.; Guan L.; Liu P.; Zhang Y.","Zhou, Wei (57226398560); Guan, Le (56031642100); Liu, Peng (36727836300); Zhang, Yuqing (56027290000)","57226398560; 56031642100; 36727836300; 56027290000","Automatic firmware emulation through invalidity-guided knowledge inference","2021","Proceedings of the 30th USENIX Security Symposium","","","","2007","2024","17","28","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114121098&partnerID=40&md5=f500165b34060ed67efda7e94fb7a1d7","Emulating firmware for microcontrollers is challenging due to the tight coupling between the hardware and firmware. This has greatly impeded the application of dynamic analysis tools to firmware analysis. The state-of-the-art work automatically models unknown peripherals by observing their access patterns, and then leverages heuristics to calculate the appropriate responses when unknown peripheral registers are accessed. However, we empirically found that this approach and the corresponding heuristics are frequently insufficient to emulate firmware. In this work, we propose a new approach called µEmu to emulate firmware with unknown peripherals. Unlike existing work that attempts to build a general model for each peripheral, our approach learns how to correctly emulate firmware execution at individual peripheral access points. It takes the image as input and symbolically executes it by representing unknown peripheral registers as symbols. During symbolic execution, it infers the rules to respond to unknown peripheral accesses. These rules are stored in a knowledge base, which is referred to during the dynamic firmware analysis. µEmu achieved a passing rate of 95% in a set of unit tests for peripheral drivers without any manual assistance. We also evaluated µEmu with real-world firmware samples and new bugs were discovered. © 2021 by The USENIX Association. All rights reserved.","","Automatic guided vehicles; Knowledge based systems; Access patterns; Dynamic analysis tools; Firmware execution; Knowledge base; New approaches; State of the art; Symbolic execution; Tight coupling; Firmware","Conference paper","Final","","Scopus","2-s2.0-85114121098"
"Li S.; Yao Z.; Wang R.; Liu Z.","Li, Sisi (57191531902); Yao, Zhijun (52265102700); Wang, Rui (56204128800); Liu, Zhaofei (55640527500)","57191531902; 52265102700; 56204128800; 55640527500","Dryness/wetness pattern over the Three-River Headwater Region: Variation characteristic, causes, and drought risks","2020","International Journal of Climatology","40","7","","3550","3566","16","11","10.1002/joc.6413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076167771&doi=10.1002%2fjoc.6413&partnerID=40&md5=bd19e81227a3fdb5f44bf57050ef9156","The dryness/wetness patterns are a significant reference for stakeholders in developing reasonable strategies in regard to water resource management, prediction, prevention of extreme events, and management of agricultural activities; however, no attempts have been made to systematically quantify the dryness/wetness patterns and drought conditions over the Three-River Headwater Region (TRHR) of China, where the ecosystem is highly sensitive to climate change. The spatio-temporal characteristics of dryness/wetness for TRHR, as well as the reference evapotranspiration (ETr), precipitation (Pre), and drought risk, were all investigated for the period of 1961–2015. Using the methods of FAO-56 Penman–Monteith (FAO-56), standardized precipitation evapotranspiration index (SPEI), the Manner–Kendall (M–K) test, Pettitt test, factor contribution rate, and correlation analysis, the variation in the patterns of dryness/wetness, ETr, and Pre, and the causes behind dryness/wetness were discussed. Results indicated that the TRHR underwent a wetting tendency, which was characterized by decreasing ETr and increasing Pre based on the SPEI-12M during 1961–2015. Moreover, 1971–1980 was the driest period, while 2001–2015 was the wettest period. A significant difference between seasons was detected in the dryness/wetness patterns during all study periods, as well as in extreme droughts. The TRHR underwent an overall wetting trend with 85% of the stations' SPEI-3M showing increased variation during spring, in contrast with the north–south distribution pattern of the dryness/wetness with variation in the SPEI during summer. Moreover, it can be seen that droughts with higher longest drought duration (LDD) and total drought duration (TDD) were mostly located on the edge of the eastern and northern TRHR. The influencing factors demonstrate the vital roles of Pre and ETr in generating variation in the dryness/wetness patterns of the southern and northern parts of the TRHR, respectively. There is evidence indicating that Niño3.4, North Atlantic oscillation, and Arctic oscillation played more important roles in the variation of dryness/wetness patterns and Pre in TRHR. © 2019 Royal Meteorological Society","drought duration; ENSO; reference evapotranspiration; standardized precipitation evapotranspiration index; Three-River Headwater Region","China; Atmospheric pressure; Climate change; Evapotranspiration; Rivers; Water management; Wetting; Drought duration; ENSO; Head waters; Reference evapotranspiration; standardized precipitation evapotranspiration index; Arctic Oscillation; climate change; drought; evapotranspiration; extreme event; headwater; North Atlantic Oscillation; precipitation (climatology); Drought","Article","Final","","Scopus","2-s2.0-85076167771"
"Thu D.T.H.; Nguyen D.-A.; Hung P.N.","Thu, Doan Thi Hoai (58062812600); Nguyen, Duc-Anh (57192080962); Hung, Pham Ngoc (26032124500)","58062812600; 57192080962; 26032124500","Automated Test Data Generation for Typescript Web Applications","2021","Proceedings - International Conference on Knowledge and Systems Engineering, KSE","2021-November","","","","","","2","10.1109/KSE53942.2021.9648782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146199864&doi=10.1109%2fKSE53942.2021.9648782&partnerID=40&md5=0c27e50ccd03d9ce4cd69314099c844e","This research proposes a Pattern-based Unit Testing method, namely PUT, to generate test data automatically for Typescript web applications. The main idea is to analyze the internal structure of source code to detect patterns of attribute usages. These patterns are then used to generate test data directly. An implemented tool and experimental results are presented to demonstrate the effectiveness of PUT in comparison with the automated random method. It shows that PUT could increase function coverage by 3.57 %-23.81 %, statement coverage by 0.5%-27.41 %, and branch coverage by 3.3%-39.24%. Therefore, PUT could provide potential usefulness for automated unit testing of Typescript web applications in practice.  © 2021 IEEE.","automated unit testing; control flow graph; Typescript; web application testing; white-box testing","Data flow analysis; Flow graphs; Testing; Automated test data generation; Automated unit testing; Control-flow graphs; Test data; Typescript; Unit testing; WEB application; Web application testing; Web applications; White-box testing; Automation","Conference paper","Final","","Scopus","2-s2.0-85146199864"
"Bartoszuk M.B.; Gagolewski M.G.","Bartoszuk, Maciej (56298064300); Gagolewski, Marek (55971798100)","56298064300; 55971798100","SimilaR: R Code Clone and Plagiarism Detection","2020","R Journal","12","1","","367","385","18","2","10.32614/rj-2020-017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106853876&doi=10.32614%2frj-2020-017&partnerID=40&md5=2c3888fc122ce9913f26d530536849fa","Third-party software for assuring source code quality is becoming increasingly popular. Tools that evaluate the coverage of unit tests, perform static code analysis, or inspect run-time memory use are crucial in the software development life cycle. More sophisticated methods allow for performing meta-analyses of large software repositories, e.g., to discover abstract topics they relate to or common design patterns applied by their developers. They may be useful in gaining a better understanding of the component interdependencies, avoiding cloned code as well as detecting plagiarism in programming classes. A meaningful measure of similarity of computer programs often forms the basis of such tools. While there are a few noteworthy instruments for similarity assessment, none of them turns out particularly suitable for analysing R code chunks. Existing solutions rely on rather simple techniques and heuristics and fail to provide a user with the kind of sensitivity and specificity required for working with R scripts. In order to fill this gap, we propose a new algorithm based on a Program Dependence Graph, implemented in the SimilaR package. It can serve as a tool not only for improving R code quality but also for detecting plagiarism, even when it has been masked by applying some obfuscation techniques or imputing dead code. We demonstrate its accuracy and efficiency in a real-world case study.  © 2020, The R Journal. All Rights Reserved","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106853876"
"Sheikh W.; Sheikh N.","Sheikh, Waseem (22836360100); Sheikh, Nadeem (55403731800)","22836360100; 55403731800","A Model-View-ViewModel (MVVM) Application Framework for Hearing Impairment Diagnosis-Class Inheritance Architecture","2020","2020 Intermountain Engineering, Technology and Computing, IETC 2020","","","9249215","","","","2","10.1109/IETC47856.2020.9249215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097552970&doi=10.1109%2fIETC47856.2020.9249215&partnerID=40&md5=81e4820df0dfd6337135caf5528a28ad","Around 466 million people worldwide (over 5% of the world's population) have disabling hearing loss, and out of these 34 million are children. Estimates suggest that by 2050, over 900 million people worldwide will have disabling hearing loss. The annual global cost of unaddressed hearing loss amounts to US 750 billion. Early detection of hearing loss can reduce its impact on an individual's life in addition to saving a huge cost. This paper, the last one in a series of three papers, presents the class inheritance architecture of an open-source application framework for hearing impairment diagnosis. The framework is built using the Model-View-ViewModel (MVVM) pattern which separates the development of graphical user interface (GUI) from the development of business and back-end logic. Some of the benefits of the MVVM pattern include reusable components, independent development of GUI and business or back-end logic, flexibility to modify GUI without having to change business or back-end logic, ease of unit testing, and reduced maintenance overhead. The proposed framework along with the open-source code makes it possible to easily extend the application functionality thus enabling other researchers and practitioners to develop their own versions of hearing loss diagnosis applications. The proposed software was evaluated by an otolaryngologist and found to be very beneficial in assisting a clinician to reach a hearing impairment diagnosis conclusion more methodically, swiftly and accurately.  © 2020 IEEE.","application framework; audiometry; hearing loss; model-view-viewmodel; software architecture; software design; software implementation","Computation theory; Computer circuits; Computer software reusability; Cost reduction; Graphical user interfaces; Open source software; Open systems; Application frameworks; Class inheritance; Graphical user interfaces (GUI); Hearing impairments; Maintenance overhead; Open source application; Open-source code; Reusable components; Audition","Conference paper","Final","","Scopus","2-s2.0-85097552970"
"Gao Z.; Bai S.; Liao X.; Leung V.C.M.","Gao, Zhenzhen (25929125000); Bai, Shaozhuang (57208535152); Liao, Xuewen (14919610300); Leung, Victor C. M. (7102336029)","25929125000; 57208535152; 14919610300; 7102336029","Secure Quadrature Channel Modulation","2019","IEEE Transactions on Vehicular Technology","68","10","8812685","9974","9987","13","6","10.1109/TVT.2019.2937446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073870098&doi=10.1109%2fTVT.2019.2937446&partnerID=40&md5=7ae0df49647dced1e202d209aa94f7eb","In this paper, a physical layer security (PLS) scheme based on quadrature channel modulation (QCM) called secure QCM (SQCM) is proposed for time division duplex (TDD) multi-input multi-output (MIMO) media based modulation (MBM) systems to resist eavesdropping. By exploiting the abundant legitimate channel realizations generated by the radio frequency (RF) mirrors, secure mappings between the original information bits and the transmit patterns are designed, where the transmit patterns include the transmit antenna activation pattern (AAP), mirror activation pattern (MAP) and symbol modulation pattern. The secure mappings used by the transmitter change for each transmission and are unavailable at the eavesdropper due to the independent fading of the legitimate link and the eavesdropping link. Based on the secure mappings, the proposed SQCM conveys the source information bits securely through the complex modulation symbol and instantaneous channel realizations by using a single RF chain. The ergodic secrecy rate is analyzed and a closed-form approximation is derived. Simulation results show that the closed-form approximation coincides with the experimental ergodic secrecy rate, and the achievable ergodic secrecy rate is not influenced by the number of eavesdropping antennas or the channel advantage of the eavesdropping link. Compared to the secure MBM scheme using the traditional artificial noise (AN) technique, the proposed SQCM scheme shows significant performance gain without consuming jamming power when the eavesdropper has more antennas than the legitimate receiver. Compared to the precoded MBM and probabilistic optimized MBM schemes exploiting the eavesdropper's CSI, the proposed SQCM scheme has better secrecy performance in all SNR region and medium-to-high SNR regions respectively without requiring the eavesdropper's CSI. © 1967-2012 IEEE.","Media-based modulation; Physical-layer security; Quadrature channel modulation; Secrecy rate","Antennas; Fading (radio); Hole mobility; Mapping; MIMO systems; Mirrors; Modulation; Network layers; Security systems; Activation patterns; Channel realizations; Closed form approximations; Modulation patterns; Multi input multi output; Physical layer security; Quadrature channel; Time division duplex; Signal to noise ratio","Article","Final","","Scopus","2-s2.0-85073870098"
"Malik M.I.; Sindhu M.A.; Khattak A.S.; Abbasi R.A.; Saleem K.","Malik, Maryam Imtiaz (57218209273); Sindhu, Muddassar Azam (36452253600); Khattak, Akmal Saeed (57206473937); Abbasi, Rabeeh Ayaz (27867465800); Saleem, Khalid (55248095500)","57218209273; 36452253600; 57206473937; 27867465800; 55248095500","Automating test oracles from restricted natural language agile requirements","2021","Expert Systems","38","1","e12608","","","","7","10.1111/exsy.12608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088308770&doi=10.1111%2fexsy.12608&partnerID=40&md5=5f8455235608a804878d728fb0c4a66f","Manual testing of software requirements written in natural language for agile or any other methodology requires more time and human resources. This leaves the testing process error prone and time consuming. For satisfied end users with bug-free software delivered on time, there is a need to automate the test oracle process for natural language or informal requirements. The automation of the test oracle is relatively easier with formal requirements, but this task is difficult to achieve with natural language requirements. This study proposes an approach called Restricted Natural Language Agile Requirements Testing (ReNaLART) to automate the test oracle from restricted natural language agile requirements. For this purpose, it uses an existing user story template with some modifications for writing user stories. This helps in identifying test input and expected output for a user story. For comparison of expected and observed outputs it makes use of a regex pattern and string distance functions. It is capable of assigning different types of verdicts automatically depending upon the similarity/dissimilarity between observed and expected outputs of user stories. ReNaLART is validated using several case studies of different domains, namely, OLX Pakistan, Mental Health Tests, McDelivery Pakistan, BlueStacks, Power Searching with Google, TensorFlow Playground, w3Schools 2018 offline and Touch'D. It revealed several faults in five of the above listed eight applications. Plus, the proposed test oracle on an average took 0.02 s for test data generation, expected output generation and verdict assignment. Both these facts show the fault revealing effectiveness and efficiency of ReNaLART. © 2020 John Wiley & Sons, Ltd","agile requirements; automated test oracle; automated test-driven development; behaviour-driven development; restricted natural language","Natural language processing systems; Testing; Agile requirements; Different domains; Distance functions; Effectiveness and efficiencies; Informal requirements; Natural language requirements; Software requirements; Test data generation; Software testing","Article","Final","","Scopus","2-s2.0-85088308770"
"Choi K.-Y.; Lee J.-W.","Choi, Ki-Yong (57022151200); Lee, Jung-Won (55689938100)","57022151200; 55689938100","CNN-based fault localization method using memory-updated patterns for integration test in an HiL environment","2019","Applied Sciences (Switzerland)","9","14","2799","","","","0","10.3390/app9142799","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068888919&doi=10.3390%2fapp9142799&partnerID=40&md5=d92947ff89d9ea6683499e38a72fdc17","Automotive electronic components are tested via hardware-in-the-loop (HiL) testing at the unit and integration test stages, according to ISO 26262. It is difficult to obtain debugging information from the HiL test because the simulator runs a black-box test automatically, depending on the scenario in the test script. At this time, debugging information can be obtained in HiL tests, using memory-updated information, without the source code or the debugging tool. However, this method does not know when the fault occurred, and it is difficult to select the starting point of debugging if the execution flow of the software is not known. In this paper, we propose a fault-localization method using a pattern in which each memory address is updated in the HiL test. Via a sequential pattern-mining algorithm in the memory-updated information of the transferred unit tests, memory-updated patterns are extracted, and the system learns using a convolutional neural network. Applying the learned pattern in the memory-updated information of the integration test can determine the fault point from the normal pattern. The point of departure from the normal pattern is highlighted as a fault-occurrence time, and updated addresses are presented as fault candidates. We applied the proposed method to an HiL test of an OSEK/VDX-based electronic control unit. Through fault-injection testing, we could find the cause of faults by checking the average memory address of 3.28%, and we could present the point of fault occurrence with an average accuracy of 80%. © 2019 by the authors.","Automotive software; Convolutional neural network (CNN); Fault localization; Hardware-in-the-loop (HiL); Sequential pattern mining","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85068888919"
"Gergely T.; Balogh G.; Horváth F.; Vancsics B.; Beszédes Á.; Gyimóthy T.","Gergely, Tamás (6701482066); Balogh, Gergő (55975863300); Horváth, Ferenc (36147467700); Vancsics, Béla (56705599800); Beszédes, Árpád (6506259777); Gyimóthy, Tibor (6603266536)","6701482066; 55975863300; 36147467700; 56705599800; 6506259777; 6603266536","Differences between a static and a dynamic test-to-code traceability recovery method","2019","Software Quality Journal","27","2","","797","822","25","4","10.1007/s11219-018-9430-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058641652&doi=10.1007%2fs11219-018-9430-x&partnerID=40&md5=0d4c283eb8d6a32793484f6a88fec86b","Recovering test-to-code traceability links may be required in virtually every phase of development. This task might seem simple for unit tests thanks to two fundamental unit testing guidelines: isolation (unit tests should exercise only a single unit) and separation (they should be placed next to this unit). However, practice shows that recovery may be challenging because the guidelines typically cannot be fully followed. Furthermore, previous works have already demonstrated that fully automatic test-to-code traceability recovery for unit tests is virtually impossible in a general case. In this work, we propose a semi-automatic method for this task, which is based on computing traceability links using static and dynamic approaches, comparing their results and presenting the discrepancies to the user, who will determine the final traceability links based on the differences and contextual information. We define a set of discrepancy patterns, which can help the user in this task. Additional outcomes of analyzing the discrepancies are structural unit testing issues and related refactoring suggestions. For the static test-to-code traceability, we rely on the physical code structure, while for the dynamic, we use code coverage information. In both cases, we compute combined test and code clusters which represent sets of mutually traceable elements. We also present an empirical study of the method involving 8 non-trivial open source Java systems. © 2018, The Author(s).","Code coverage; Refactoring; Structural test smells; Test-to-code traceability; Traceability link recovery; Unit testing","Codes (symbols); Open source software; Recovery; Software testing; Code coverage; Refactorings; Structural tests; Traceability links; Unit testing; Open systems","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85058641652"
"Sheikh W.; Sheikh N.","Sheikh, Waseem (22836360100); Sheikh, Nadeem (55403731800)","22836360100; 55403731800","A Model-View-ViewModel (MVVM) Application Framework for Hearing Impairment Diagnosis-Type Dependency Architecture","2020","2020 Intermountain Engineering, Technology and Computing, IETC 2020","","","9249181","","","","2","10.1109/IETC47856.2020.9249181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097565801&doi=10.1109%2fIETC47856.2020.9249181&partnerID=40&md5=b0f12e21f93d0189f3d73082dd2e90e6","Around 466 million people worldwide (over 5% of the world's population) have disabling hearing loss, and out of these 34 million are children. Estimates suggest that by 2050, over 900 million people worldwide will have disabling hearing loss. The annual global cost of unaddressed hearing loss amounts to US 750 billion. Early detection of hearing loss can reduce its impact on an individual's life in addition to saving a huge cost. This paper, the second in a series of three papers, presents the type dependency architecture of an open-source application framework for hearing impairment diagnosis. The framework is built using the Model-View-ViewModel (MVVM) pattern which separates the development of graphical user interface (GUI) from the development of business and back-end logic. Some of the benefits of the MVVM pattern include reusable components, independent development of GUI and business or back-end logic, flexibility to modify GUI without having to change business or back-end logic, ease of unit testing, and reduced maintenance overhead. The proposed framework along with the open-source code makes it possible to easily extend the application functionality thus enabling other researchers and practitioners to develop their own versions of hearing loss diagnosis applications. The proposed software was evaluated by an otolaryngologist and found to be very beneficial in assisting a clinician to reach a hearing impairment diagnosis conclusion more methodically, swiftly and accurately.  © 2020 IEEE.","application framework; audiometry; hearing loss; model-view-viewmodel; software architecture; software design; software implementation","Computation theory; Computer circuits; Computer software reusability; Cost reduction; Graphical user interfaces; Open source software; Open systems; Application frameworks; Graphical user interfaces (GUI); Hearing impairments; Maintenance overhead; MVVM patterns; Open source application; Open-source code; Reusable components; Audition","Conference paper","Final","","Scopus","2-s2.0-85097565801"
"De Bleser J.; Di Nucci D.; De Roover C.","De Bleser, Jonas (57208780915); Di Nucci, Dario (57016777600); De Roover, Coen (55891851900)","57208780915; 57016777600; 55891851900","Assessing diffusion and perception of test smells in scala projects","2019","IEEE International Working Conference on Mining Software Repositories","2019-May","","8816745","457","467","10","23","10.1109/MSR.2019.00072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069608480&doi=10.1109%2fMSR.2019.00072&partnerID=40&md5=8da833e9a66cf25a4648a6c73985b37b","Test smells are, analogously to code smells, defined as the characteristics exhibited by poorly designed unit tests. Their negative impact on test effectiveness, understanding, and maintenance has been demonstrated by several empirical studies. However, the scope of these studies has been limited mostly to Java in combination with the JUnit testing framework. Results for other language and framework combinations are - despite their prevalence in practice - few and far between, which might skew our understanding of test smells. The combination of Scala and ScalaTest, for instance, offers more comprehensive means for defining and reusing test fixtures, thereby possibly reducing the diffusion and perception of fixture-related test smells. This paper therefore reports on two empirical studies conducted for this combination. In the first study, we analyse the tests of 164 open-source Scala projects hosted on GitHub for the diffusion of test smells. This required the transposition of their original definition to this new context, and the implementation of a tool (SOCRATES) for their automated detection. In the second study, we assess the perception and the ability of 14 Scala developers to identify test smells. For this context, our results show (i) that test smells have a low diffusion across test classes, (ii) that the most frequently occurring test smells are LazyTest, EagerTest, and AssertionRoulette, and (iii) that many developers were able to perceive but not to identify the smells. © 2019 IEEE.","Scala Language; Test Quality; Test Smells","Diffusion; Fixtures (tooling); Open source software; Automated detection; Empirical studies; Open sources; Scala languages; Test effectiveness; Test fixture; Test quality; Testing framework; Odors","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85069608480"
